marlin3bit : threadIdx: 96, i: 0, off: 96, b_gl_rd_delta_i : 0, b_sh_stride : 512,  b_gl_stride: 128, b_gl_rd_delta_o : 256, slice_col: 1024, slice_row : 0 
marlin3bit : threadIdx: 97, i: 0, off: 97, b_gl_rd_delta_i : 0, b_sh_stride : 512,  b_gl_stride: 128, b_gl_rd_delta_o : 256, slice_col: 1024, slice_row : 0 
marlin3bit : threadIdx: 98, i: 0, off: 98, b_gl_rd_delta_i : 0, b_sh_stride : 512,  b_gl_stride: 128, b_gl_rd_delta_o : 256, slice_col: 1024, slice_row : 0 
marlin3bit : threadIdx: 99, i: 0, off: 99, b_gl_rd_delta_i : 0, b_sh_stride : 512,  b_gl_stride: 128, b_gl_rd_delta_o : 256, slice_col: 1024, slice_row : 0 
marlin3bit : threadIdx: 100, i: 0, off: 100, b_gl_rd_delta_i : 0, b_sh_stride : 512,  b_gl_stride: 128, b_gl_rd_delta_o : 256, slice_col: 1024, slice_row : 0 
marlin3bit : threadIdx: 101, i: 0, off: 101, b_gl_rd_delta_i : 0, b_sh_stride : 512,  b_gl_stride: 128, b_gl_rd_delta_o : 256, slice_col: 1024, slice_row : 0 
marlin3bit : threadIdx: 102, i: 0, off: 102, b_gl_rd_delta_i : 0, b_sh_stride : 512,  b_gl_stride: 128, b_gl_rd_delta_o : 256, slice_col: 1024, slice_row : 0 
marlin3bit : threadIdx: 103, i: 0, off: 103, b_gl_rd_delta_i : 0, b_sh_stride : 512,  b_gl_stride: 128, b_gl_rd_delta_o : 256, slice_col: 1024, slice_row : 0 
marlin3bit : threadIdx: 104, i: 0, off: 104, b_gl_rd_delta_i : 0, b_sh_stride : 512,  b_gl_stride: 128, b_gl_rd_delta_o : 256, slice_col: 1024, slice_row : 0 
marlin3bit : threadIdx: 105, i: 0, off: 105, b_gl_rd_delta_i : 0, b_sh_stride : 512,  b_gl_stride: 128, b_gl_rd_delta_o : 256, slice_col: 1024, slice_row : 0 
marlin3bit : threadIdx: 106, i: 0, off: 106, b_gl_rd_delta_i : 0, b_sh_stride : 512,  b_gl_stride: 128, b_gl_rd_delta_o : 256, slice_col: 1024, slice_row : 0 
marlin3bit : threadIdx: 107, i: 0, off: 107, b_gl_rd_delta_i : 0, b_sh_stride : 512,  b_gl_stride: 128, b_gl_rd_delta_o : 256, slice_col: 1024, slice_row : 0 
marlin3bit : threadIdx: 108, i: 0, off: 108, b_gl_rd_delta_i : 0, b_sh_stride : 512,  b_gl_stride: 128, b_gl_rd_delta_o : 256, slice_col: 1024, slice_row : 0 
marlin3bit : threadIdx: 109, i: 0, off: 109, b_gl_rd_delta_i : 0, b_sh_stride : 512,  b_gl_stride: 128, b_gl_rd_delta_o : 256, slice_col: 1024, slice_row : 0 
marlin3bit : threadIdx: 110, i: 0, off: 110, b_gl_rd_delta_i : 0, b_sh_stride : 512,  b_gl_stride: 128, b_gl_rd_delta_o : 256, slice_col: 1024, slice_row : 0 
marlin3bit : threadIdx: 111, i: 0, off: 111, b_gl_rd_delta_i : 0, b_sh_stride : 512,  b_gl_stride: 128, b_gl_rd_delta_o : 256, slice_col: 1024, slice_row : 0 
marlin3bit : threadIdx: 112, i: 0, off: 112, b_gl_rd_delta_i : 0, b_sh_stride : 512,  b_gl_stride: 128, b_gl_rd_delta_o : 256, slice_col: 1024, slice_row : 0 
marlin3bit : threadIdx: 113, i: 0, off: 113, b_gl_rd_delta_i : 0, b_sh_stride : 512,  b_gl_stride: 128, b_gl_rd_delta_o : 256, slice_col: 1024, slice_row : 0 
marlin3bit : threadIdx: 114, i: 0, off: 114, b_gl_rd_delta_i : 0, b_sh_stride : 512,  b_gl_stride: 128, b_gl_rd_delta_o : 256, slice_col: 1024, slice_row : 0 
marlin3bit : threadIdx: 115, i: 0, off: 115, b_gl_rd_delta_i : 0, b_sh_stride : 512,  b_gl_stride: 128, b_gl_rd_delta_o : 256, slice_col: 1024, slice_row : 0 
